Country/Territory,2022_corrupt,2021_corrupt,2020_corrupt
Denmark,90,88,88
New Zealand,87,88,88
Finland,87,88,85
Norway,84,85,84
Singapore,83,85,85
Sweden,83,85,85
Switzerland,82,84,85
Netherlands,80,82,82
Germany,79,80,80
Luxembourg,77,81,80
Ireland,77,74,72
Hong Kong,76,76,77
Australia,75,73,77
Iceland,74,74,75
Estonia,74,74,75
Uruguay,74,73,71
Canada,74,75,77
Japan,73,73,74
United Kingdom,73,78,77
Belgium,73,73,76
France,72,71,69
Austria,71,74,76
Seychelles,70,70,66
United States,69,67,67
Taiwan,68,68,65
Bhutan,68,68,68
Chile,67,67,67
United Arab Emirates,67,69,71
Barbados,65,65,64
Bahamas,64,64,63
Israel,63,59,60
South Korea,63,62,61
Portugal,62,62,61
Lithuania,62,61,60
Spain,60,61,62
Saint Vincent and the Grenadines,60,59,59
Botswana,60,55,60
Cape Verde,60,58,58
Brunei Darussalam,—,—,60
Latvia,59,59,57
Qatar,58,63,63
Georgia,56,55,56
Slovenia,56,57,60
Italy,56,56,53
Czechia,56,54,54
Dominica,55,55,55
Saint Lucia,55,56,56
Poland,55,56,56
Costa Rica,54,58,57
Fiji,53,55,—
Slovakia,53,52,49
Cyprus,52,53,57
Greece,52,49,50
Grenada,52,53,53
Malta,51,54,53
Rwanda,51,53,54
Saudi Arabia,51,53,53
Mauritius,50,54,53
Croatia,50,47,47
Namibia,49,49,51
Vanuatu,48,45,43
Jordan,47,49,49
Malaysia,47,48,51
Armenia,46,49,49
Romania,46,45,44
Cuba,45,46,47
China,45,45,42
São Tomé and Príncipe,45,45,47
Montenegro,45,46,45
Oman,44,52,54
Jamaica,44,44,44
Bahrain,44,42,42
South Africa,43,44,44
Ghana,43,43,43
Senegal,43,43,45
Benin,43,42,41
Bulgaria,43,42,44
Hungary,42,43,44
Trinidad and Tobago,42,41,40
Burkina Faso,42,42,40
Solomon Islands,42,43,42
Kuwait,42,43,42
Timor-Leste,42,41,40
Vietnam,42,39,36
Kosovo,41,39,36
Guyana,40,39,41
Suriname,40,39,38
Maldives,40,40,43
North Macedonia,40,39,35
Tunisia,40,44,44
India,40,40,40
Moldova,39,36,34
Belarus,39,41,47
Colombia,39,39,39
Morocco,38,39,40
Ethiopia,38,39,38
Argentina,38,38,42
Tanzania,38,39,38
Brazil,38,38,38
Lesotho,37,38,41
Ivory Coast,37,36,36
Thailand,36,35,36
Albania,36,35,36
Serbia,36,38,38
Turkey,36,38,40
Panama,36,36,35
Sri Lanka,36,37,38
Kazakhstan,36,37,38
Ecuador,36,36,39
Peru,36,36,38
Sierra Leone,34,34,33
Nepal,34,33,33
Malawi,34,35,30
Bosnia and Herzegovina,34,35,35
Indonesia,34,38,37
Gambia,34,37,37
Zambia,33,33,33
Philippines,33,33,34
Mongolia,33,35,35
El Salvador,33,34,36
Ukraine,33,32,33
Algeria,33,33,36
Angola,33,29,27
Niger,32,31,32
Kenya,32,30,31
Dominican Republic,32,30,28
Uzbekistan,31,28,26
Bolivia,31,30,31
Mexico,31,31,31
Laos,31,30,29
Papua New Guinea,30,31,27
Togo,30,30,29
Egypt,30,33,33
Eswatini,30,32,33
Mauritania,30,28,29
Djibouti,30,30,27
Gabon,29,31,30
Mali,28,29,30
Russia,28,29,30
Paraguay,28,30,28
Pakistan,27,28,31
Kyrgyzstan,27,27,31
Uganda,26,27,27
Mozambique,26,26,25
Cameroon,26,27,25
Liberia,26,29,28
Madagascar,26,26,25
Guinea,25,25,28
Bangladesh,25,26,26
Iran,25,25,25
Nigeria,24,24,25
Central African Republic,24,24,26
Afghanistan,24,16,19
Cambodia,24,23,21
Lebanon,24,24,25
Guatemala,24,25,25
Tajikistan,24,25,25
Zimbabwe,23,23,24
Azerbaijan,23,30,30
Myanmar,23,28,28
Honduras,23,23,24
Iraq,23,23,21
Eritrea,22,22,21
Sudan,22,20,16
Congo,21,21,19
Guinea-Bissau,21,21,19
Democratic Republic of the Congo,20,19,18
Turkmenistan,19,19,19
Nicaragua,19,20,22
Comoros,19,20,21
Chad,19,20,21
Libya,17,17,17
Haiti,17,20,18
North Korea,17,16,18
Equatorial Guinea,17,17,16
Burundi,17,19,19
Yemen,16,16,15
Venezuela,14,14,15
Syria,13,13,14
South Sudan,13,11,12
Somalia,12,13,12
