Country/Territory,UN region,Forecast,Year[IMF],Estimate[World Bank],Year[World Bank],Estimate[United Nations],Year[United Nations]
Monaco,Europe,—,—,234317,2021,234317,2021
Liechtenstein,Europe,—,—,184083,2021,169260,2021
Luxembourg,Europe,135605,2023,126426,2022,133745,2021
Bermuda,Americas,—,—,118846,2022,112653,2021
Ireland,Europe,112248,2023,104039,2022,101109,2021
Switzerland,Europe,102865,2023,92102,2022,93525,2021
Norway,Europe,99266,2023,106149,2022,89242,2021
Cayman Islands,Americas,—,—,88476,2021,85250,2021
Singapore,Asia,87884,2023,82808,2022,66822,2021
Qatar,Asia,81968,2023,88046,2022,66799,2021
United States,Americas,80412,2023,76399,2022,69185,2021
Isle of Man,Europe,—,—,79531,2020,—,—
Iceland,Europe,78837,2023,72903,2022,69133,2021
Denmark,Europe,71402,2023,66983,2022,68037,2021
Faroe Islands,Europe,—,—,69010,2021,—,—
Channel Islands,Europe,—,—,67961,2021,—,—
Australia,Oceania,63487,2023,64491,2022,66916,2021
Netherlands,Europe,61770,2023,55985,2022,57871,2021
San Marino,Europe,58541,2023,54983,2021,50425,2021
Austria,Europe,58013,2023,52131,2022,53840,2021
Greenland,Americas,—,—,57116,2021,58185,2021
Sweden,Europe,55216,2023,55873,2022,60730,2021
Finland,Europe,54507,2023,50537,2022,53703,2021
Macau,Asia,54296,2023,31618,2022,43555,2021
Belgium,Europe,53657,2023,49583,2022,51166,2021
Canada,Americas,53247,2023,54967,2022,52112,2021
Israel,Asia,53196,2023,54660,2022,54111,2021
Germany,Europe,52824,2023,48433,2022,51073,2021
Hong Kong,Asia,51168,2023,48984,2022,49259,2021
United Arab Emirates,Asia,50602,2023,53758,2022,43295,2021
British Virgin Islands,Americas,—,—,—,—,49444,2021
United Kingdom,Europe,48912,2023,45850,2022,46542,2021
New Zealand,Oceania,48072,2023,48249,2022,48824,2021
France,Europe,46315,2023,40964,2022,44229,2021
Andorra,Europe,44107,2023,41993,2022,42066,2021
European Union[n 1],Europe,41110,2023,37150,2022,31875,[8]2021
US Virgin Islands,Americas,—,—,39552,2020,—,—
Malta,Europe,38715,2023,33941,2022,33642,2021
Italy,Europe,37146,2023,34158,2022,35579,2021
Puerto Rico,Americas,37093,2023,35209,2022,32716,2021
New Caledonia,Oceania,—,—,36668,2022,34994,2021
Sint Maarten (Dutch part),Americas,—,—,36220,2022,26199,2021
Guam,Oceania,—,—,35905,2021,—,—
Aruba,Americas,35718,2023,29342,2021,29342,2021
Cyprus,Asia,34791,[n 2]2023,31284,[n 2]2022,32281,[n 2]2021
